Algorithm,Iteration,Lumens Config,Watts Config,Energy,Uniformity (IUDI),Avg Desk Lux,Objective
BO1_30_5_EI,21,"[813.9229365689783, 3600.0, 2483.8438107115, 3600.0, 806.1179920539058, 3600.0, 169.30648242223023, 2122.2087774904376, 961.291639273764, 979.9446646243385, 2437.931365138654, 2649.6855452084988, 3049.830145066871, 3600.0, 3600.0, 437.450198842711, 2313.5278046451326, 1158.5102278017782]","[6.558605451804822, 29.008863819500405, 20.01485745939968, 29.008863819500405, 6.495713070539129, 29.008863819500405, 1.3642746367625322, 17.10079595076904, 7.746105070699146, 7.896411479648176, 19.644894159054427, 21.351213095958894, 24.575585375236674, 29.008863819500405, 29.008863819500405, 3.5249814572337717, 18.642448063216218, 9.335295953277827]",309.2,0.45,"[436.0, 519.0, 412.0, 422.0, 417.0, 315.0]",18.242156172839508
BO1_30_5_EI,22,"[2956.3358490295263, 3600.0, 2394.011520491015, 0.0, 2299.0380824838403, 3600.0, 0.0, 3600.0, 3600.0, 1529.3551002701786, 3600.0, 3600.0, 3600.0, 3600.0, 3600.0, 2761.219040023212, 3600.0, 3600.0]","[23.82220668033462, 29.008863819500405, 19.290987272288596, 0.0, 18.52568962517196, 29.008863819500405, 0.0, 29.008863819500405, 29.008863819500405, 12.323570509832221, 29.008863819500405, 29.008863819500405, 29.008863819500405, 29.008863819500405, 29.008863819500405, 22.249951974401387, 29.008863819500405, 29.008863819500405]",415.1,0.58,"[607.0, 624.0, 514.0, 494.0, 474.0, 403.0]",11.71496774691358
BO1_30_5_EI,23,"[0.0, 3600.0, 2627.4013414066685, 3600.0, 0.0, 3600.0, 3600.0, 3600.0, 0.0, 0.0, 3600.0, 3600.0, 1726.3573783604006, 3600.0, 3600.0, 0.0, 502.57400474916244, 3600.0]","[0.0, 29.008863819500405, 21.171646586677426, 29.008863819500405, 0.0, 29.008863819500405, 29.008863819500405, 29.008863819500405, 0.0, 0.0, 29.008863819500405, 29.008863819500405, 13.911018359068498, 29.008863819500405, 29.008863819500405, 0.0, 4.049750239719279, 29.008863819500405]",329.1,0.19,"[421.0, 598.0, 625.0, 606.0, 436.0, 206.0]",4.54026712962963
BO1_30_5_EI,24,"[1834.2991104401822, 1617.7319282393203, 1285.9120298058724, 1331.6144128426306, 2633.7588166789674, 2499.1389564508913, 545.5635243304687, 3382.183703759739, 1248.5255555859208, 0.0, 977.0506062360579, 3527.2935204169094, 1804.5995593889222, 3595.844067865279, 3600.0, 909.9914286058847, 272.54558382796864, 3600.0]","[14.780814749719438, 13.035712556320068, 10.361901932359972, 10.730172545065518, 21.222875235124636, 20.138106014914516, 4.396160550608128, 27.25369624302771, 10.060641060321682, 0.0, 7.8730911058505875, 28.422993718105637, 14.541495240845466, 28.97537524468396, 29.008863819500405, 7.33272706370576, 2.1961771460754926, 29.008863819500405]",279.3,0.31,"[382.0, 491.0, 395.0, 369.0, 345.0, 268.0]",27.624893981481485
BO1_30_5_EI,25,"[1980.9537061634337, 2213.840238240129, 2697.5195006432255, 1210.7284704876677, 0.0, 3600.0, 1266.3585583621696, 3596.1828822292405, 602.0186339894574, 0.0, 990.5390704723695, 3600.0, 3254.394117719428, 3600.0, 52.70949909099192, 3105.8104244010533, 3066.065944207446, 3600.0]","[15.962560081897129, 17.83916388589951, 21.736659956835016, 9.756071478546879, 0.0, 29.008863819500405, 10.20433971282973, 28.978105416835138, 4.8510768250560625, 0.0, 7.981781389785412, 29.008863819500405, 26.223965493307237, 29.008863819500405, 0.4247340780901847, 25.026675458509697, 24.706413732533814, 29.008863819500405]",309.7,0.22,"[441.0, 392.0, 494.0, 464.0, 369.0, 176.0]",19.173113734567902
BO1_30_5_EI,26,"[2297.262839265025, 3600.0, 3317.052264040171, 0.0, 0.0, 3600.0, 178.59351060074698, 0.0, 2186.180344459811, 3192.592961860072, 3600.0, 3600.0, 0.0, 1214.4933750608475, 670.8047714363901, 916.7023817675273, 2164.0470301440746, 3600.0]","[18.511384683843875, 29.008863819500405, 26.728865947140783, 0.0, 0.0, 29.008863819500405, 1.439109674462103, 0.0, 17.616279971473094, 25.72597068380397, 29.008863819500405, 29.008863819500405, 0.0, 9.786409146340432, 5.4053567400192595, 7.38680404325163, 17.437929332345487, 29.008863819500405]",274.9,0.52,"[348.0, 410.0, 462.0, 344.0, 280.0, 290.0]",29.20646743827161
BO1_30_5_EI,27,"[3172.242659220134, 3600.0, 3600.0, 3600.0, 1369.5368269952307, 3600.0, 368.86930325879354, 2604.323609964991, 934.1588469475886, 663.0368181488261, 3600.0, 3600.0, 3600.0, 1431.1925977935114, 3600.0, 0.0, 0.0, 3600.0]","[25.561987584368527, 29.008863819500405, 29.008863819500405, 29.008863819500405, 11.035752030582037, 29.008863819500405, 2.972355384841205, 20.985685817606697, 7.527468549134477, 5.342762434720598, 29.008863819500405, 29.008863819500405, 29.008863819500405, 11.53257532468583, 29.008863819500405, 0.0, 0.0, 29.008863819500405]",345.9,0.16,"[539.0, 550.0, 511.0, 491.0, 465.0, 311.0]",9.702441203703705
BO1_30_5_EI,28,"[1755.073492470946, 3600.0, 2631.706861398945, 2693.251999501539, 0.0, 473.08094236023794, 0.0, 0.0, 2820.2872106645254, 0.0, 3600.0, 3600.0, 396.33008513797324, 3600.0, 2468.5644426944486, 0.0, 0.0, 3600.0]","[14.142413315640177, 29.008863819500405, 21.206340543101895, 21.70227235698259, 0.0, 3.812094620146962, 0.0, 0.0, 22.725924340568298, 0.0, 29.008863819500405, 29.008863819500405, 3.193634852038463, 29.008863819500405, 19.891736041051157, 0.0, 0.0, 29.008863819500405]",251.6,0.13,"[422.0, 543.0, 352.0, 328.0, 364.0, 251.0]",37.0518450617284
BO1_30_5_EI,29,"[0.0, 0.0, 3600.0, 3600.0, 2035.0308115163582, 3600.0, 0.0, 3600.0, 343.5676868863474, 725.869649883763, 3600.0, 3600.0, 0.0, 3600.0, 3600.0, 0.0, 0.0, 3600.0]","[0.0, 0.0, 29.008863819500405, 29.008863819500405, 16.3983143554904, 29.008863819500405, 0.0, 29.008863819500405, 2.768474511574113, 5.849070506718477, 29.008863819500405, 29.008863819500405, 0.0, 29.008863819500405, 29.008863819500405, 0.0, 0.0, 29.008863819500405]",286.0,0.22,"[333.0, 572.0, 362.0, 394.0, 464.0, 317.0]",28.52772530864198
BO1_30_5_EI,30,"[835.9702724861395, 1516.470180746641, 3600.0, 0.0, 0.0, 3600.0, 0.0, 1597.9063605813774, 826.8500650510688, 2151.055310802455, 3600.0, 3600.0, 491.5034988124361, 0.0, 1563.804022336005, 0.0, 1912.2879650044956, 3600.0]","[6.736263275472519, 12.219743599892354, 29.008863819500405, 0.0, 0.0, 29.008863819500405, 0.0, 12.875957780671857, 6.662772482280974, 17.333241827578206, 29.008863819500405, 29.008863819500405, 3.960543906627205, 0.0, 12.601160534536705, 0.0, 15.409250322356936, 29.008863819500405]",232.8,0.37,"[256.0, 386.0, 383.0, 328.0, 272.0, 197.0]",42.67584074074074
